player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,crosses,accurate_crosses,long_balls,accurate_long_balls,key_passes,aerials_won,clearances,saves,saves_inside_box,goals_conceded,clean_sheets,penalties_saved
15062015,Abdoulie Sanyang,Hajduk Split,Attacker,27,Gambia,22.0,1145.0,2.0,1.0,25.0,4.0,250.0,71.2,23.0,5.0,177.0,77.0,4.0,0.0,6.8,61.0,25.0,12.0,22.0,30.0,8.0,21.0,11.0,10.0,5.0,5.0,3.0,0.0,14.0,8.0,0.0
24838179,Luka Skaricic,Varaždin,Defender,24,Croatia,19.0,1134.0,0.0,0.0,2.0,0.0,536.0,77.99,22.0,14.0,107.0,66.0,1.0,0.0,6.93,2.0,2.0,3.0,7.0,9.0,3.0,95.0,35.0,5.0,38.0,51.0,0.0,0.0,10.0,9.0,0.0
24993,Matthew Steenvoorden,Gorica,Defender,33,Netherlands,16.0,1126.0,0.0,0.0,1.0,0.0,454.0,82.6,13.0,15.0,81.0,40.0,1.0,0.0,6.91,2.0,0.0,7.0,2.0,0.0,0.0,80.0,34.0,6.0,25.0,76.0,0.0,0.0,16.0,6.0,0.0
37533537,Novak Tepsic,Varaždin,Defender,24,Croatia,22.0,1115.0,0.0,0.0,4.0,0.0,528.0,76.14,33.0,18.0,108.0,70.0,3.0,0.0,6.95,9.0,6.0,10.0,11.0,1.0,0.0,100.0,38.0,1.0,20.0,41.0,0.0,0.0,7.0,11.0,0.0
37356259,Michael Agbekpornu,Slaven Koprivnica,Midfielder,27,Ghana,18.0,1112.0,0.0,1.0,14.0,1.0,536.0,85.26,23.0,19.0,155.0,85.0,5.0,0.0,6.93,19.0,12.0,8.0,7.0,2.0,0.0,62.0,40.0,10.0,43.0,21.0,0.0,0.0,19.0,5.0,0.0
75120,Ivan Roca,Šibenik,Midfielder,30,Croatia,27.0,1110.0,0.0,1.0,26.0,1.0,484.0,71.49,53.0,24.0,148.0,83.0,3.0,0.0,6.86,8.0,2.0,10.0,13.0,6.0,5.0,92.0,41.0,2.0,19.0,18.0,0.0,0.0,20.0,5.0,0.0
37583451,Gabriel Rukavina,Rijeka,Attacker,22,Croatia,31.0,1100.0,3.0,1.0,14.0,7.0,290.0,73.1,14.0,6.0,132.0,66.0,2.0,0.0,6.86,29.0,13.0,4.0,24.0,16.0,3.0,22.0,6.0,9.0,14.0,10.0,0.0,0.0,5.0,16.0,0.0
67827,Amer Gojak,Rijeka,Midfielder,29,Bosnia and Herzegovina,28.0,1088.0,0.0,2.0,13.0,4.0,401.0,80.55,22.0,9.0,131.0,59.0,5.0,0.0,6.78,22.0,7.0,5.0,15.0,41.0,13.0,38.0,20.0,21.0,19.0,17.0,0.0,0.0,5.0,16.0,0.0
412433,Bruno Bogojevic,Rijeka,Attacker,28,Croatia,27.0,1087.0,0.0,1.0,13.0,2.0,268.0,57.46,47.0,11.0,160.0,83.0,3.0,0.0,6.84,21.0,6.0,17.0,14.0,35.0,3.0,64.0,20.0,5.0,15.0,27.0,0.0,0.0,5.0,17.0,0.0
73278,Marko Pajac,Lokomotiva Zagreb,Defender,33,Croatia,17.0,1084.0,0.0,3.0,8.0,2.0,531.0,72.13,28.0,11.0,98.0,57.0,4.0,0.0,7.02,18.0,6.0,10.0,16.0,93.0,30.0,106.0,34.0,25.0,7.0,28.0,0.0,0.0,20.0,3.0,0.0
