player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,crosses,accurate_crosses,long_balls,accurate_long_balls,key_passes,aerials_won,clearances,saves,saves_inside_box,goals_conceded,clean_sheets,penalties_saved,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_per90,tackles_per90,interceptions_per90,cards_per90,dribble_attempts_per90,successful_dribbles_per90,dribbled_past_per90,fouls_drawn_per90,crosses_per90,accurate_crosses_per90,long_balls_per90,accurate_long_balls_per90,key_passes_per90,aerials_won_per90,clearances_per90,saves_per90,goals_conceded_per90,clean_sheet_rate,shot_accuracy,goal_conversion,pass_accuracy_ratio,duel_success_rate,minutes_per_appearance,goal_contribution_per90,dribble_success_rate,cross_accuracy,long_ball_accuracy
73659,Luka Lucic,Slaven Koprivnica,Midfielder,31,Croatia,31.0,2739.0,1.0,0.0,6.0,1.0,1473.0,73.79,38.0,46.0,235.0,139.0,9.0,0.0,7.08,21.0,10.0,9.0,30.0,116.0,34.0,272.0,111.0,28.0,68.0,114.0,0.0,0.0,38.0,7.0,0.0,0.03285870755750274,0.0,0.19715224534501644,0.03285870755750274,48.40087623220153,1.248630887185104,1.511500547645126,0.29572836801752467,0.6900328587075575,0.32858707557502737,0.29572836801752467,0.9857612267250822,3.8116100766703176,1.1171960569550932,8.937568455640745,3.647316538882804,0.9200438116100766,2.2343921139101863,3.7458926615553123,0.0,1.248630887185104,22.580645161290324,16.666666666666668,16.666666666666668,0.7379000000000001,59.148936170212764,88.35483870967742,0.03285870755750274,47.61904761904762,29.310344827586206,40.80882352941177
37598711,Art Smakaj,Lokomotiva Zagreb,Midfielder,23,Kosovo,32.0,2724.0,2.0,4.0,37.0,10.0,1147.0,80.47,57.0,40.0,316.0,139.0,11.0,0.0,7.02,42.0,23.0,22.0,26.0,14.0,5.0,117.0,58.0,24.0,35.0,34.0,0.0,0.0,36.0,7.0,0.0,0.06607929515418502,0.13215859030837004,1.222466960352423,0.3303964757709251,37.89647577092511,1.8832599118942732,1.3215859030837005,0.3634361233480176,1.3876651982378854,0.7599118942731278,0.7268722466960352,0.8590308370044053,0.46255506607929514,0.16519823788546256,3.8656387665198237,1.9162995594713657,0.7929515418502202,1.1563876651982379,1.1233480176211454,0.0,1.1894273127753303,21.875,27.027027027027028,5.405405405405405,0.8047,43.9873417721519,85.125,0.19823788546255505,54.76190476190476,35.714285714285715,49.572649572649574
37540937,Mateo Lisica,Istra 1961,Attacker,22,Croatia,36.0,2702.0,4.0,5.0,38.0,9.0,611.0,76.6,42.0,16.0,216.0,103.0,0.0,0.0,7.1,53.0,28.0,15.0,22.0,82.0,14.0,28.0,17.0,39.0,13.0,19.0,0.0,0.0,27.0,13.0,0.0,0.13323464100666174,0.16654330125832717,1.2657290895632864,0.2997779422649889,20.35159141376758,1.3989637305699483,0.532938564026647,0.0,1.7653589933382678,0.9326424870466321,0.4996299037749815,0.7327905255366395,2.7313101406365656,0.46632124352331605,0.9326424870466321,0.5662472242783123,1.299037749814952,0.43301258327165065,0.6328645447816432,0.0,0.8993338267949667,36.111111111111114,23.68421052631579,10.526315789473685,0.7659999999999999,47.68518518518518,75.05555555555556,0.2997779422649889,52.83018867924528,17.073170731707318,60.714285714285715
5270359,Silvio Gorican,Lokomotiva Zagreb,Attacker,26,Croatia,33.0,2700.0,6.0,4.0,65.0,25.0,696.0,73.42,27.0,11.0,356.0,124.0,5.0,0.0,6.95,93.0,27.0,20.0,53.0,142.0,36.0,47.0,26.0,51.0,16.0,10.0,0.0,0.0,46.0,7.0,0.0,0.2,0.13333333333333333,2.1666666666666665,0.8333333333333334,23.2,0.9,0.36666666666666664,0.16666666666666666,3.1,0.9,0.6666666666666666,1.7666666666666666,4.733333333333333,1.2,1.5666666666666667,0.8666666666666667,1.7,0.5333333333333333,0.3333333333333333,0.0,1.5333333333333334,21.21212121212121,38.46153846153846,9.23076923076923,0.7342,34.831460674157306,81.81818181818181,0.33333333333333337,29.032258064516128,25.35211267605634,55.319148936170215
75000,Antonio Borsic,Varaždin,Defender,30,Croatia,33.0,2680.0,0.0,0.0,13.0,2.0,1270.0,78.43,43.0,30.0,201.0,93.0,3.0,0.0,7.05,20.0,12.0,28.0,16.0,50.0,11.0,182.0,78.0,22.0,25.0,77.0,0.0,0.0,17.0,16.0,0.0,0.0,0.0,0.43656716417910446,0.06716417910447761,42.649253731343286,1.4440298507462686,1.007462686567164,0.10074626865671642,0.6716417910447762,0.40298507462686567,0.9402985074626866,0.5373134328358209,1.6791044776119404,0.3694029850746269,6.111940298507463,2.6194029850746268,0.7388059701492538,0.8395522388059702,2.5858208955223883,0.0,0.5708955223880597,48.484848484848484,15.384615384615385,0.0,0.7843000000000001,46.26865671641791,81.21212121212122,0.0,60.0,22.0,42.857142857142854
1872745,Mladen Devetak,Rijeka,Defender,27,Serbia,31.0,2657.0,1.0,2.0,11.0,1.0,974.0,72.18,38.0,28.0,231.0,113.0,7.0,0.0,7.01,11.0,2.0,15.0,34.0,56.0,11.0,186.0,62.0,15.0,41.0,77.0,0.0,0.0,19.0,18.0,0.0,0.03387278885961611,0.06774557771923222,0.3726006774557772,0.03387278885961611,32.99209634926609,1.2871659766654122,0.948438088069251,0.23710952201731275,0.3726006774557772,0.06774557771923222,0.5080918328942416,1.1516748212269476,1.896876176138502,0.3726006774557772,6.3003387278885965,2.1001129092961985,0.5080918328942416,1.3887843432442604,2.6082047421904404,0.0,0.6435829883327061,58.064516129032256,9.090909090909092,9.090909090909092,0.7218000000000001,48.917748917748916,85.70967741935483,0.10161836657884832,18.181818181818183,19.642857142857142,33.333333333333336
37543226,Toni Fruk,Rijeka,Midfielder,25,Croatia,33.0,2645.0,10.0,10.0,72.0,28.0,768.0,73.7,26.0,13.0,393.0,169.0,5.0,1.0,7.42,83.0,39.0,12.0,82.0,58.0,21.0,90.0,49.0,56.0,26.0,6.0,0.0,0.0,17.0,20.0,0.0,0.34026465028355385,0.34026465028355385,2.4499054820415878,0.9527410207939508,26.13232514177694,0.8846880907372401,0.44234404536862004,0.20415879017013233,2.824196597353497,1.3270321361058601,0.40831758034026466,2.7901701323251418,1.9735349716446124,0.7145557655954632,3.062381852551985,1.667296786389414,1.9054820415879017,0.8846880907372401,0.20415879017013233,0.0,0.5784499054820416,60.60606060606061,38.888888888888886,13.88888888888889,0.737,43.00254452926209,80.15151515151516,0.6805293005671077,46.98795180722892,36.206896551724135,54.44444444444444
37544959,Moris Valincic,Istra 1961,Defender,23,Croatia,33.0,2619.0,1.0,2.0,6.0,3.0,1357.0,84.6,56.0,51.0,296.0,173.0,6.0,0.0,7.14,55.0,30.0,14.0,51.0,40.0,9.0,135.0,70.0,15.0,36.0,63.0,0.0,0.0,26.0,12.0,0.0,0.03436426116838488,0.06872852233676977,0.20618556701030927,0.10309278350515463,46.63230240549828,1.9243986254295533,1.7525773195876289,0.20618556701030927,1.8900343642611683,1.0309278350515463,0.48109965635738833,1.7525773195876289,1.3745704467353952,0.30927835051546393,4.639175257731959,2.4054982817869415,0.5154639175257731,1.2371134020618557,2.1649484536082473,0.0,0.8934707903780069,36.36363636363637,50.0,16.666666666666668,0.846,58.445945945945944,79.36363636363636,0.10309278350515465,54.54545454545455,22.5,51.851851851851855
54693,Robert Mudrazija,Lokomotiva Zagreb,Midfielder,29,Croatia,33.0,2600.0,14.0,2.0,53.0,20.0,805.0,73.29,33.0,14.0,284.0,134.0,2.0,0.0,7.24,45.0,14.0,18.0,60.0,44.0,9.0,70.0,31.0,37.0,26.0,16.0,0.0,0.0,41.0,6.0,0.0,0.4846153846153846,0.06923076923076923,1.8346153846153845,0.6923076923076923,27.865384615384617,1.1423076923076922,0.4846153846153846,0.06923076923076923,1.5576923076923077,0.4846153846153846,0.6230769230769231,2.076923076923077,1.523076923076923,0.31153846153846154,2.423076923076923,1.073076923076923,1.2807692307692307,0.9,0.5538461538461539,0.0,1.4192307692307693,18.181818181818183,37.735849056603776,26.41509433962264,0.7329000000000001,47.183098591549296,78.78787878787878,0.5538461538461539,31.11111111111111,20.454545454545453,44.285714285714285
133342,Lamine Ba,Varaždin,Defender,28,Mauritania,31.0,2590.0,1.0,0.0,8.0,4.0,1389.0,85.6,39.0,37.0,159.0,92.0,9.0,0.0,7.15,11.0,7.0,6.0,8.0,1.0,0.0,183.0,82.0,4.0,39.0,127.0,0.0,0.0,16.0,14.0,0.0,0.03474903474903475,0.0,0.277992277992278,0.138996138996139,48.26640926640927,1.3552123552123552,1.2857142857142858,0.3127413127413127,0.38223938223938225,0.24324324324324326,0.2084942084942085,0.277992277992278,0.03474903474903475,0.0,6.359073359073359,2.8494208494208495,0.138996138996139,1.3552123552123552,4.413127413127413,0.0,0.555984555984556,45.16129032258065,50.0,12.5,0.856,57.861635220125784,83.54838709677419,0.03474903474903475,63.63636363636363,0.0,44.80874316939891
31926,Ivan Santini,Šibenik,Attacker,37,Croatia,31.0,2574.0,7.0,1.0,54.0,20.0,739.0,62.52,18.0,8.0,567.0,294.0,11.0,0.0,7.18,26.0,12.0,7.0,73.0,3.0,0.0,50.0,22.0,18.0,193.0,59.0,0.0,0.0,38.0,7.0,0.0,0.24475524475524477,0.03496503496503497,1.8881118881118881,0.6993006993006993,25.83916083916084,0.6293706293706294,0.27972027972027974,0.38461538461538464,0.9090909090909091,0.4195804195804196,0.24475524475524477,2.5524475524475525,0.1048951048951049,0.0,1.7482517482517483,0.7692307692307693,0.6293706293706294,6.748251748251748,2.062937062937063,0.0,1.3286713286713288,22.580645161290324,37.03703703703704,12.962962962962964,0.6252,51.851851851851855,83.03225806451613,0.27972027972027974,46.15384615384615,0.0,44.0
23707307,Luka Jelenic,Osijek,Defender,26,Croatia,32.0,2532.0,2.0,1.0,13.0,5.0,1371.0,86.58,55.0,48.0,283.0,165.0,6.0,0.0,7.08,12.0,6.0,15.0,34.0,1.0,0.0,147.0,55.0,4.0,73.0,129.0,0.0,0.0,46.0,7.0,0.0,0.07109004739336493,0.035545023696682464,0.46208530805687204,0.17772511848341233,48.73222748815166,1.9549763033175356,1.7061611374407584,0.2132701421800948,0.4265402843601896,0.2132701421800948,0.533175355450237,1.2085308056872037,0.035545023696682464,0.0,5.225118483412322,1.9549763033175356,0.14218009478672985,2.59478672985782,4.585308056872038,0.0,1.6350710900473933,21.875,38.46153846153846,15.384615384615385,0.8658,58.303886925795055,79.125,0.10663507109004738,50.0,0.0,37.414965986394556
