player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_per90,tackles_per90,interceptions_per90,cards_per90,shot_accuracy,goal_conversion,pass_accuracy_ratio,duel_success_rate,minutes_per_appearance,goal_contribution_per90,attacking_score,creative_score,defensive_score,discipline_score,overall_score
32819228,Silvio Ilinkovic,Rijeka,Midfielder,23.0,Bosnia and Herzegovina,10.0,188.0,0.0,0.0,1.0,1.0,75.0,77.33,5.0,3.0,26.0,11.0,1.0,0.0,6.56,0.0,0.0,0.4787234042553192,0.4787234042553192,35.90425531914894,2.393617021276596,1.4361702127659577,0.4787234042553192,100.0,0.0,0.7733,42.30769230769231,18.8,0.0,,,,,
37583451,Gabriel Rukavina,Rijeka,Attacker,22.0,Croatia,13.0,478.0,0.0,0.0,7.0,1.0,130.0,78.46,5.0,3.0,62.0,28.0,1.0,0.0,6.53,0.0,0.0,1.3179916317991631,0.1882845188284518,24.476987447698743,0.9414225941422594,0.5648535564853556,0.1882845188284518,14.285714285714286,0.0,0.7846,45.16129032258065,36.76923076923077,0.0,29.22173274596182,29.441997063142438,28.193832599118945,46.475770925110126,30.704845814977972
73972,Ante Majstorovic,Rijeka,Defender,32.0,Croatia,31.0,2679.0,0.0,1.0,22.0,5.0,1806.0,85.38,32.0,44.0,210.0,133.0,7.0,1.0,6.9,0.0,0.0335946248600224,0.7390817469204927,0.167973124300112,60.671892497200446,1.0750279955207167,1.478163493840985,0.2687569988801792,22.727272727272727,0.0,0.8538,63.333333333333336,86.41935483870968,0.0335946248600224,27.90014684287812,73.27459618208518,70.63142437591777,28.634361233480178,54.40528634361234
37549543,Christian Ouguehi Legbo,Rijeka,Attacker,24.0,Ivory Coast,14.0,527.0,0.0,0.0,3.0,1.0,163.0,77.91,7.0,5.0,61.0,29.0,0.0,1.0,6.53,0.0,0.0,0.5123339658444023,0.1707779886148007,27.836812144212523,1.1954459203036054,0.8538899430740038,0.1707779886148007,33.333333333333336,0.0,0.7791,47.540983606557376,37.642857142857146,0.0,28.193832599118945,32.37885462555066,40.969162995594715,51.541850220264315,35.61674008810573
31255596,Alfonso Daniel Barco del Solar,Rijeka,Midfielder,24.0,Peru,15.0,1131.0,0.0,0.0,8.0,0.0,606.0,86.3,18.0,13.0,117.0,45.0,6.0,0.0,6.54,0.0,0.0,0.636604774535809,0.0,48.222811671087534,1.4323607427055702,1.0344827586206895,0.4774535809018567,0.0,0.0,0.863,38.46153846153846,75.4,0.0,17.91483113069016,63.21585903083701,38.76651982378855,3.524229074889874,36.3215859030837
37568801,Samuele Vignato,Rijeka,Midfielder,22.0,Italy,15.0,838.0,1.0,0.0,18.0,4.0,303.0,81.52,9.0,5.0,62.0,25.0,1.0,0.0,6.87,0.107398568019093,0.0,1.9331742243436756,0.4295942720763723,32.5417661097852,0.9665871121718376,0.5369928400954654,0.107398568019093,22.22222222222222,5.555555555555555,0.8151999999999999,40.32258064516129,55.86666666666667,0.107398568019093,60.6461086637298,43.53891336270191,21.879588839941263,70.9251101321586,44.91189427312775
34649,Antonio Hidalgo,Rijeka,Coach,37.0,Croatia,1.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,6.45,0.0,0.0,15.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6.0,0.0,,,,,
37608777,Daniel Adu-Adjei,Rijeka,Attacker,21.0,England,27.0,1556.0,6.0,3.0,54.0,18.0,141.0,66.67,19.0,7.0,204.0,82.0,1.0,0.0,6.82,0.3470437017994858,0.1735218508997429,3.1233933161953726,1.0411311053984575,8.155526992287918,1.0989717223650386,0.4048843187660668,0.0578406169665809,33.333333333333336,11.11111111111111,0.6667000000000001,40.19607843137255,57.629629629629626,0.5205655526992288,85.46255506607929,29.51541850220264,20.851688693098385,84.14096916299559,49.16299559471365
37910997,Dominik Thaqi,Rijeka,Attacker,19.0,,6.0,307.0,0.0,0.0,7.0,0.0,70.0,74.29,8.0,6.0,46.0,15.0,2.0,0.0,6.56,0.0,0.0,2.052117263843648,0.0,20.52117263843648,2.345276872964169,1.758957654723127,0.5863192182410424,0.0,0.0,0.7429000000000001,32.608695652173914,51.16666666666666,0.0,,,,,
24818171,Tornike Morchiladze,Rijeka,Attacker,24.0,Georgia,10.0,445.0,0.0,0.0,11.0,0.0,153.0,82.35,4.0,3.0,77.0,27.0,2.0,0.0,6.53,0.0,0.0,2.224719101123596,0.0,30.9438202247191,0.8089887640449438,0.6067415730337079,0.4044943820224719,0.0,0.0,0.8234999999999999,35.064935064935064,44.5,0.0,,,,,
