category,rank,player_id,player_name,team_name,position,age,minutes,goals,assists,goals_per90,assists_per90,attacking_score,creative_score,defensive_score,discipline_score,overall_score,dribbling_score,passing_score,duel_defending_score,progressive_midfielder_score,passer_defender_score,goalkeeper_score,age_bonus,reliability_bonus,age_potential_score,team_average_score,score_above_team_average,standout_bonus,weak_team_bonus,underrated_score
top_assists,8,7346393,Aleksa Latkovic,Varaždin,Midfielder,25.0,2492.0,8.0,6.0,0.2889245585874799,0.2166934189406099,85.12820512820512,45.64102564102564,22.56410256410257,39.90825688073395,49.990825688073386,77.217125382263,54.12844036697247,18.279816513761467,67.6923076923077,28.782051282051285,,0.0,6.935779816513762,56.92660550458714,50.45893932816063,-0.468113640087239,0.0,0.0,49.990825688073386
top_assists,9,540670,Iker Pozo,Gorica,Midfielder,25.0,2716.0,4.0,6.0,0.1325478645066274,0.198821796759941,68.71794871794872,79.48717948717949,89.23076923076924,10.091743119266056,72.23994354269583,89.14373088685015,59.17431192660551,65.87155963302753,68.46153846153847,74.03846153846155,,0.0,7.522935779816514,79.76287932251233,48.59093815867933,23.649005384016498,11.824502692008249,0.925047244100046,84.98949347880412
top_assists,10,338593,Stjepan Loncar,Istra 1961,Midfielder,29.0,2784.0,3.0,6.0,0.0969827586206896,0.1939655172413793,50.0,57.43589743589744,7.692307692307693,43.57798165137615,38.89625970359915,62.5382262996942,64.95412844036697,14.3348623853211,70.76923076923077,28.07692307692308,,0.0,7.596330275229357,46.492589978828505,48.71337761700612,-9.817117913406967,0.0,0.8638275149366521,39.7600872185358
top_assists,11,129013,Marko Livaja,Hajduk Split,Attacker,32.0,1744.0,9.0,6.0,0.4644495412844037,0.3096330275229357,82.71604938271604,56.17283950617284,24.69135802469136,16.513761467889907,50.72545022086305,76.98776758409787,38.53211009174312,19.174311926605508,79.16666666666667,41.51234567901235,,0.0,5.137614678899083,55.863064899762136,56.332793137714695,-5.607342916851643,0.0,0.0,50.72545022086305
top_assists,12,4536487,Tiago Dantas,Rijeka,Midfielder,25.0,2487.0,7.0,6.0,0.2533172496984318,0.2171290711700844,81.53846153846153,82.56410256410255,23.07692307692308,58.25688073394495,61.97953422724064,20.795107033639145,88.57798165137615,25.344036697247702,69.61538461538461,54.23076923076923,,0.0,6.899082568807341,68.87861679604798,48.80463337786005,13.174900849380592,6.587450424690296,0.8181996345096856,69.38518428644062
top_assists,13,32636,Ante Rebić,Hajduk Split,Attacker,32.0,1828.0,7.0,5.0,0.3446389496717724,0.2461706783369803,75.92592592592594,52.46913580246913,67.90123456790123,19.724770642201836,60.86136595310907,70.9480122324159,40.91743119266055,34.059633027522935,77.31481481481481,60.3395061728395,,0.0,5.43119266055046,66.29255861365954,56.332793137714695,4.5285728153943765,2.2642864076971883,0.0,63.12565236080626
top_assists,14,37648988,Robin González,Vukovar,Midfielder,27.0,2946.0,7.0,5.0,0.2138492871690427,0.1527494908350305,77.94871794871796,49.74358974358975,36.92307692307693,48.1651376146789,54.20112914608328,89.60244648318042,52.018348623853214,25.022935779816518,61.53846153846155,36.53846153846154,,0.0,7.706422018348624,61.9075511644319,43.20028406817515,11.000845077908124,5.500422538954062,3.620374289352135,63.32192597438947
top_assists,15,62670,Ljuban Crepulja,Slaven Koprivnica,Midfielder,32.0,1841.0,3.0,5.0,0.1466594242259641,0.2444323737099402,72.82051282051282,95.3846153846154,51.7948717948718,85.3211009174312,74.53211009174312,48.01223241590214,93.02752293577984,49.63302752293578,76.92307692307693,72.62820512820514,,0.0,5.467889908256881,80.0,50.79415848648339,23.73795160525973,11.868975802629866,0.0,86.40108589437298
best_u23,1,37538492,Gabriel Vidovic,Dinamo Zagreb,Attacker,22.0,1380.0,7.0,4.0,0.4565217391304347,0.2608695652173913,79.62962962962963,96.2962962962963,80.86419753086419,81.65137614678899,85.20217465171594,71.55963302752293,61.10091743119267,32.8440366972477,76.3888888888889,86.7283950617284,,2.0,4.0,91.20217465171594,63.549995266537,21.65217938517894,10.82608969258947,0.0,96.0282643443054
best_u23,2,37324970,Marko Soldo,Dinamo Zagreb,Midfielder,22.0,689.0,3.0,1.0,0.3918722786647315,0.1306240928882438,92.56410256410255,76.92307692307692,83.07692307692308,64.22018348623854,82.19124911785461,68.348623853211,64.86238532110092,68.76146788990826,66.53846153846155,78.65384615384616,,2.0,1.2844036697247707,85.47565278757938,63.549995266537,18.64125385131761,9.320626925658807,0.0,91.5118760435134
