cluster_id,cluster_name,player_id,player_name,team_name,position,age,minutes,quality_score
4,high-volume finishers (variant 2),496680,Arnel Jakupovic,Osijek,Attacker,28,2315.0,42.64446444644464
4,high-volume finishers (variant 2),74885,Karlo Butic,Slaven Koprivnica,Attacker,27,518.0,33.25472547254726
4,high-volume finishers (variant 2),37600601,Marin Prekodravac,Šibenik,Midfielder,21,1012.0,31.50219120272683
4,high-volume finishers (variant 2),37697289,Salim Fago Lawal,Istra 1961,Attacker,23,1724.0,31.334383438343835
4,high-volume finishers (variant 2),74127,Anthony Kalik,Hajduk Split,Midfielder,28,1742.0,29.96672618081481
4,high-volume finishers (variant 2),37596447,Filip Cuic,Lokomotiva Zagreb,Attacker,23,962.0,29.747074707470748
4,high-volume finishers (variant 2),31640157,Kristian Fucak,Istra 1961,Attacker,27,498.0,29.52655265526552
4,high-volume finishers (variant 2),74849,Ivan Bozic,Šibenik,Attacker,29,2058.0,23.392439243924382
4,high-volume finishers (variant 2),37596446,Mate Antunovic,Hajduk Split,Attacker,22,791.0,21.2988298829883
5,balanced profile,37694071,Niko Sigur,Hajduk Split,Midfielder,22,1612.0,63.99691608505113
5,balanced profile,73871,Filip Krovinovic,Hajduk Split,Midfielder,30,2240.0,63.43775361142672
5,balanced profile,96854,Ronaël Pierre-Gabriel,Dinamo Zagreb,Defender,28,2288.0,63.02255225522551
5,balanced profile,32405608,Ivan Smolcic,Rijeka,Defender,25,1564.0,61.05335533553355
5,balanced profile,52889,Josip Radosevic,Istra 1961,Midfielder,32,1230.0,57.05120921928258
5,balanced profile,56643,Dario Melnjak,Hajduk Split,Defender,33,1596.0,56.2953795379538
5,balanced profile,10967324,Lindon Selahi,Rijeka,Midfielder,27,1956.0,56.168641454309366
5,balanced profile,37551107,Leon Belcar,Varaždin,Midfielder,24,1624.0,56.11913650381432
5,balanced profile,37616075,Antonio Mauric,Istra 1961,Midfielder,22,1870.0,55.90326245739328
5,balanced profile,21054114,Bartol Franjic,Dinamo Zagreb,Defender,26,1254.0,55.248899889989
5,balanced profile,32786881,Tomislav Duvnjak,Varaždin,Midfielder,23,1692.0,54.77601038792404
5,balanced profile,4187891,Toni Kolega,Šibenik,Attacker,27,1460.0,51.902790279027904
5,balanced profile,46031,Marcel Heister,Istra 1961,Defender,33,2004.0,51.83305830583058
5,balanced profile,97414,Ismaël Diallo,Hajduk Split,Defender,29,1811.0,50.27640264026402
5,balanced profile,24838185,Ivan Cubelic,Slaven Koprivnica,Midfielder,23,1546.0,50.1428339555267
5,balanced profile,75120,Ivan Roca,Šibenik,Midfielder,30,1110.0,49.5495861061516
5,balanced profile,72813,Domagoj Antolic,Lokomotiva Zagreb,Midfielder,36,480.0,48.47833143970134
5,balanced profile,37596430,Simun Hrgovic,Hajduk Split,Defender,22,2033.0,48.32508250825082
5,balanced profile,9938999,Agon Elezi,Gorica,Midfielder,25,1226.0,48.1817075150138
5,balanced profile,37598711,Art Smakaj,Lokomotiva Zagreb,Midfielder,23,2724.0,48.17237461451063
