category,rank,player_id,player_name,team_name,position,age,minutes,dribbling_score,passing_score,duel_defending_score,progressive_midfielder_score,passer_defender_score,creative_score,defensive_score,overall_score,successful_dribbles_per90,dribble_success_rate,fouls_drawn_per90,passes_per90,key_passes_per90,pass_accuracy,accurate_long_balls_per90,accurate_crosses_per90,tackles_per90,interceptions_per90,aerials_won_per90,clearances_per90,duel_success_rate
best_progressive_midfielders,1,37563601,Luka Stojkovic,Dinamo Zagreb,Midfielder,22,1542.0,76.07260726072609,83.66336633663367,50.51980198019802,86.88524590163934,67.89617486338798,75.95628415300546,57.92349726775956,73.00519396201913,1.4591439688715953,52.083333333333336,1.284046692607004,45.93385214007782,3.093385214007782,80.56,2.9766536964980546,2.509727626459144,2.159533073929961,0.7587548638132295,1.517509727626459,0.642023346303502,51.627906976744185
best_progressive_midfielders,2,37550680,Martin Baturina,Dinamo Zagreb,Midfielder,23,2380.0,86.63366336633663,82.17821782178218,20.024752475247528,82.37704918032787,48.63387978142077,86.33879781420764,20.21857923497268,60.97224476546014,1.815126050420168,50.526315789473685,2.4201680672268906,47.83613445378151,3.403361344537815,84.82,1.815126050420168,1.4747899159663866,1.134453781512605,0.226890756302521,0.5672268907563025,0.1134453781512605,49.21135646687697
best_progressive_midfielders,3,37543226,Toni Fruk,Rijeka,Midfielder,25,2645.0,82.34323432343236,56.93069306930694,17.400990099009903,78.27868852459017,28.346994535519123,43.71584699453552,13.661202185792348,48.90034085375751,1.32703213610586,46.98795180722892,2.7901701323251418,26.13232514177694,1.9054820415879017,73.7,1.667296786389414,0.7145557655954632,0.8846880907372401,0.44234404536862,0.8846880907372401,0.2041587901701323,43.00254452926209
best_progressive_midfielders,4,198710,Petar Pusic,Osijek,Midfielder,27,1454.0,63.53135313531354,86.63366336633665,7.549504950495049,77.8688524590164,44.193989071038246,85.79234972677595,4.371584699453552,55.413082291835735,1.052269601100413,54.83870967741935,0.6189821182943603,48.34250343878955,1.856946354883081,85.92,2.909215955983494,1.176066024759285,0.7427785419532325,0.3094910591471801,0.3094910591471801,0.2475928473177441,36.134453781512605
best_progressive_midfielders,5,37704799,Adriano Jagusic,Slaven Koprivnica,Midfielder,20,1526.0,75.08250825082509,64.95049504950495,45.915841584158414,77.45901639344262,60.24590163934426,56.28415300546448,62.29508196721312,61.75864307742249,1.474442988204456,40.32258064516129,2.300131061598952,35.32765399737877,1.1205766710353866,76.29,3.479685452162516,0.3538663171690694,2.300131061598952,1.0615989515072084,1.0026212319790302,0.3538663171690694,50.0
best_progressive_midfielders,6,73858,Marko Rog,Dinamo Zagreb,Midfielder,30,616.0,68.48184818481847,84.85148514851485,42.8960396039604,76.22950819672131,64.95901639344262,91.8032786885246,49.18032786885246,58.11962343775361,0.8766233766233766,42.85714285714285,1.899350649350649,49.675324675324674,1.899350649350649,87.35,1.899350649350649,1.6071428571428572,2.191558441558441,0.7305194805194806,1.899350649350649,0.2922077922077922,46.93877551020408
best_progressive_midfielders,7,338593,Stjepan Loncar,Istra 1961,Midfielder,29,1043.0,66.00660066006601,74.75247524752476,25.297029702970296,74.18032786885246,44.67213114754099,54.64480874316939,24.590163934426236,58.72747930530758,1.4669223394055608,62.96296296296296,0.5177372962607862,33.22147651006711,1.984659635666347,81.56,2.070949185043145,1.5532118887823585,0.862895493767977,0.2588686481303931,0.6040268456375839,0.7766059443911792,52.05479452054794
best_progressive_midfielders,8,37613457,Beyatt Lekoueiry,Istra 1961,Midfielder,21,1036.0,69.3069306930693,43.26732673267327,19.97524752475248,71.31147540983606,23.702185792349727,42.07650273224044,15.846994535519128,42.24151923389059,1.0424710424710424,42.85714285714285,1.7374517374517375,23.8030888030888,1.5637065637065637,72.26,0.9555984555984556,0.2606177606177606,1.2162162162162162,0.4343629343629344,0.5212355212355212,0.7818532818532818,41.935483870967744
best_progressive_midfielders,9,21072870,Jurica Prsir,Gorica,Midfielder,26,1511.0,62.70627062706271,84.35643564356437,60.99009900990098,71.31147540983606,74.72677595628414,79.78142076502733,69.94535519125682,72.81285505599742,0.6551952349437459,39.285714285714285,1.9655857048312373,51.87954996690933,1.369953673064196,82.89,2.799470549305096,1.5486432825943084,3.3951025810721376,1.2508272667107876,1.3103904698874915,1.6082064857710126,49.38271604938272
best_progressive_midfielders,10,37569839,Lukas Kacavenda,Dinamo Zagreb,Midfielder,23,733.0,85.47854785478548,60.4950495049505,47.00495049504951,70.08196721311475,56.4207650273224,65.02732240437159,64.48087431693989,71.89823080668721,1.3506139154160983,50.0,2.946793997271487,36.46657571623465,1.84174624829468,79.46,0.7366984993178718,0.4911323328785811,2.08731241473397,0.9822646657571624,0.859481582537517,0.4911323328785811,54.3859649122807
